Topology,car_cache,ec2_vcpus,ec2_memorylevel,ec2_instances,latency,cost,complexity,scalability
3.0,4,2,3,44,0.5225,2.7012,10,8.9499
3.0,1,16,2,59,0.7125,6.3012,10,8.9583
3.0,3,12,2,49,0.625,3.0012,10,8.8935
3.0,5,6,1,77,0.545,2.3412,10,8.9134
3.0,3,16,3,28,0.75,3.0012,10,8.7906
3.0,3,6,1,24,0.545,3.0012,10,8.9463
3.0,5,14,2,20,0.625,2.3412,10,8.8294
3.0,9,16,1,86,0.625,2.0014,10,8.7716
3.0,3,8,1,44,0.57,3.0012,10,8.9309
3.0,4,2,3,5,0.5225,2.7012,10,8.9499
3.0,3,8,1,42,0.57,3.0012,10,8.9309
3.0,6,2,3,86,0.5225,2.2512,10,8.9293
3.0,1,4,1,59,0.535,6.3012,10,8.9888
3.0,8,14,1,97,0.5875,2.0262,10,8.8308
3.0,5,2,1,34,0.51375,2.3412,10,8.9418
3.0,9,2,2,65,0.5225,2.0014,10,8.9108
3.0,9,2,3,6,0.5225,2.0013,10,8.9112
3.0,3,6,3,61,0.57,3.0012,10,8.9309
3.0,6,12,1,89,0.5875,2.2512,10,8.8612
3.0,6,2,1,27,0.51375,2.2512,10,8.9376
3.0,1,12,1,50,0.5875,6.3012,10,8.9812
3.0,5,6,2,29,0.57,2.3412,10,8.8889
3.0,10,2,2,37,0.5225,1.8912,10,8.9016
3.0,4,2,3,56,0.5225,2.7012,10,8.9499
3.0,8,14,1,20,0.5875,2.0262,10,8.8308
3.0,4,12,1,43,0.5875,2.7012,10,8.9014
3.0,1,2,3,81,0.5225,6.3012,10,8.9905
3.0,10,16,2,14,0.7125,1.8912,10,8.5899
3.0,1,14,3,63,0.7125,6.3012,10,8.9583
3.0,8,4,3,98,0.545,2.0262,10,8.8864
3.0,5,4,2,67,0.545,2.3412,10,8.9134
3.0,9,16,1,70,0.625,2.0014,10,8.7716
3.0,1,2,1,52,0.51375,6.3012,10,8.9916
3.0,5,8,3,53,0.5875,2.3412,10,8.8708
3.0,7,8,1,26,0.57,2.187,10,8.8737
3.0,10,6,3,50,0.57,1.8912,10,8.8347
3.0,4,10,1,7,0.57,2.7012,10,8.9154
3.0,10,16,3,92,0.75,1.8912,10,8.5158
3.0,7,14,3,20,0.7125,2.187,10,8.6834
3.0,5,14,1,56,0.5875,2.3412,10,8.8708
3.0,5,2,2,84,0.5225,2.3412,10,8.9341
3.0,7,12,3,33,0.625,2.187,10,8.8065
3.0,8,14,2,53,0.625,2.0262,10,8.7772
3.0,7,8,1,23,0.57,2.1871,10,8.872
3.0,5,2,3,7,0.5225,2.3412,10,8.9342
3.0,5,10,2,44,0.5875,2.3412,10,8.8708
3.0,1,6,1,73,0.545,6.3012,10,8.9875
3.0,4,12,2,39,0.625,2.7012,10,8.8697
3.0,4,2,2,38,0.5225,2.7012,10,8.9499
3.0,5,14,3,85,0.7125,2.3412,10,8.7203
3.0,6,14,2,27,0.625,2.2512,10,8.8168
3.0,7,10,2,40,0.5875,2.187,10,8.8532
3.0,5,4,1,1,0.535,2.3412,10,8.9263
3.0,10,10,3,43,0.625,1.8912,10,8.7476
3.0,5,10,2,51,0.5875,2.3412,10,8.8708
3.0,6,4,3,66,0.545,2.2512,10,8.9055
3.0,4,6,1,15,0.545,2.7012,10,8.9341
3.0,4,14,1,7,0.5875,2.7012,10,8.9015
3.0,5,2,2,10,0.5225,2.3412,10,8.9341
3.0,8,6,2,66,0.57,2.0262,10,8.8544
3.0,7,12,1,9,0.5875,2.187,10,8.8532
3.0,7,6,3,31,0.57,2.187,10,8.8737
3.0,8,6,2,60,0.57,2.0262,10,8.8544
3.0,10,6,3,74,0.57,1.8912,10,8.8347
3.0,1,14,3,57,0.7125,6.3012,10,8.9583
3.0,4,6,1,46,0.545,2.7012,10,8.9341
3.0,7,10,2,94,0.5875,2.1871,10,8.8529
3.0,4,16,1,45,0.625,2.7012,10,8.8697
3.0,8,12,2,62,0.625,2.0262,10,8.7772
3.0,8,14,2,57,0.625,2.0262,10,8.7772
3.0,9,10,2,86,0.5875,2.0014,10,8.8264
3.0,7,2,2,2,0.5225,2.187,10,8.9251
3.0,5,16,1,95,0.625,2.3412,10,8.8294
3.0,2,6,1,10,0.545,4.0512,10,8.97
3.0,5,6,1,50,0.545,2.3412,10,8.9134
3.0,3,6,2,55,0.57,3.0012,10,8.9309
3.0,5,8,2,29,0.5875,2.3412,10,8.8708
3.0,2,4,1,76,0.535,4.0512,10,8.9733
3.0,6,12,3,27,0.625,2.2512,10,8.8168
3.0,2,2,2,71,0.5225,4.0512,10,8.9772
3.0,10,10,1,59,0.57,1.8912,10,8.8347
3.0,3,10,2,12,0.5875,3.0012,10,8.9195
3.0,4,14,3,70,0.7125,2.7012,10,8.7853
3.0,10,4,2,39,0.545,1.8912,10,8.8709
3.0,6,4,2,35,0.545,2.2512,10,8.907
3.0,4,6,1,51,0.545,2.7012,10,8.9341
3.0,9,6,2,12,0.57,2.0014,10,8.8504
3.0,6,10,2,87,0.5875,2.2512,10,8.8612
3.0,4,8,1,78,0.57,2.7012,10,8.9153
3.0,3,10,2,88,0.5875,3.0012,10,8.9195
3.0,10,2,3,64,0.5225,1.8912,10,8.9016
3.0,1,4,2,43,0.545,6.3012,10,8.9875
3.0,8,16,2,96,0.7125,2.0262,10,8.6369
3.0,8,10,3,82,0.625,2.0262,10,8.7772
3.0,2,14,2,40,0.625,4.0512,10,8.9404
3.0,9,2,1,95,0.51375,2.0014,10,8.9211
3.0,4,10,3,35,0.625,2.7012,10,8.8697
3.0,7,12,1,56,0.5875,2.187,10,8.8532
3.0,5,10,2,52,0.5875,2.3412,10,8.8708
3.0,3,16,3,81,0.75,3.0012,10,8.7907
3.0,10,10,1,66,0.57,1.8912,10,8.8347
3.0,2,14,3,11,0.7125,4.0512,10,8.9009
3.0,3,14,2,50,0.625,3.0012,10,8.8935
3.0,1,10,2,75,0.5875,6.3012,10,8.9812
3.0,1,14,1,54,0.5875,6.3012,10,8.9812
3.0,10,16,3,31,0.75,1.8912,10,8.5158
3.0,8,4,3,66,0.545,2.0262,10,8.8864
3.0,2,10,3,85,0.625,4.0512,10,8.9404
3.0,8,12,1,4,0.5875,2.0262,10,8.8308
3.0,5,2,1,42,0.51375,2.3412,10,8.9418
3.0,7,16,1,54,0.625,2.187,10,8.8065
3.0,10,4,3,11,0.545,1.8912,10,8.8709
3.0,9,10,3,76,0.625,2.0013,10,8.7719
3.0,8,2,1,27,0.51375,2.0262,10,8.9235
3.0,1,12,3,35,0.625,6.3012,10,8.975
3.0,2,12,3,68,0.625,4.0512,10,8.9404
3.0,2,8,3,52,0.5875,4.0512,10,8.955
3.0,10,6,3,38,0.57,1.8912,10,8.8347
3.0,2,2,3,38,0.5225,4.0512,10,8.9772
3.0,4,6,1,26,0.545,2.7012,10,8.9341
3.0,5,16,2,95,0.7125,2.3412,10,8.7203
3.0,2,16,3,86,0.75,4.0512,10,8.8819
3.0,7,2,2,66,0.5225,2.187,10,8.9251
3.0,1,2,1,94,0.51375,6.3012,10,8.9916
3.0,6,16,2,89,0.7125,2.2512,10,8.6998
3.0,6,16,1,22,0.625,2.2512,10,8.8168
3.0,8,6,1,39,0.545,2.0262,10,8.8864
3.0,4,8,1,21,0.57,2.7012,10,8.9153
3.0,6,10,1,94,0.57,2.2512,10,8.8791
3.0,1,4,2,76,0.545,6.3012,10,8.9875
3.0,2,16,2,6,0.7125,4.0512,10,8.9009
3.0,7,6,3,97,0.57,2.187,10,8.8737
3.0,7,8,1,29,0.57,2.187,10,8.8737
3.0,6,2,1,59,0.51375,2.2512,10,8.9376
3.0,2,4,3,57,0.545,4.0512,10,8.97
3.0,6,16,2,33,0.7125,2.2512,10,8.6983
3.0,6,14,3,84,0.7125,2.2512,10,8.6998
3.0,4,12,3,67,0.625,2.7012,10,8.8697
3.0,5,6,2,34,0.57,2.3412,10,8.8889
3.0,10,8,3,68,0.5875,1.8912,10,8.808
3.0,8,16,3,84,0.75,2.0262,10,8.5707
