Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,complexity,scalability
1.3,6,0,1,1200,0,6,3,0,1.9596,9,3.4445
1.3,4,0,0,2650,0.3,16,3,0,1.8061,9,5.606
1.3,10,1,0,1950,0.7,16,1,0,0.65748,9,6.1599
1.3,4,0,0,2300,0.5,6,3,0,1.642,9,6.1664
1.3,10,0,0,1950,0.2,6,3,0,1.252,9,3.2349
1.3,6,1,0,1100,0.7,4,2,0,0.81826,9,8.2549
1.3,7,1,1,750,0.8,8,2,0,1.0754,9,5.3802
1.3,9,0,0,1500,0,2,1,0,0.92968,9,4.8881
1.3,7,1,1,2200,0,10,2,0,1.1045,9,5.2383
1.3,8,1,0,4000,0.9,12,3,0,0.77395,9,6.5411
1.3,10,0,0,1800,1,2,3,0,1.5748,9,2.5717
1.3,5,1,1,3750,1,16,3,0,1.4846,9,5.456
1.3,5,1,0,2750,0.2,4,3,0,0.97715,9,8.2894
1.3,10,1,0,3750,0.5,14,1,0,0.63279,9,6.4002
1.3,10,1,0,1200,0.6,16,2,0,0.69304,9,5.8438
1.3,9,1,0,1650,0.4,4,2,0,0.56826,9,7.9189
1.3,3,1,0,2350,0.3,14,1,0,1.6828,9,8.0429
1.3,1,0,0,250,0.4,14,1,0,4.684,9,8.7423
1.3,2,0,0,2200,0.5,10,2,0,2.5944,9,7.821
1.3,5,1,0,2400,0.3,8,2,0,1.0265,9,7.8907
1.3,2,0,0,1950,0.5,10,1,0,2.5497,9,8.0158
1.3,9,1,1,2950,0.4,4,2,0,0.87426,9,5.1472
1.3,9,1,1,2950,0.7,10,1,0,0.93942,9,4.7902
1.3,1,1,0,3700,0.1,10,1,0,4.6334,9,8.8474
1.3,2,1,0,3250,0.3,2,2,0,2.2891,9,8.9133
1.3,9,0,1,3050,0.7,16,2,0,6.1224,9,0.73501
1.3,4,1,0,1400,0.7,10,3,0,1.3029,9,7.7713
1.3,4,1,1,2250,0.1,14,2,0,1.6449,9,6.1554
1.3,5,0,0,1650,0.6,12,2,0,1.476,9,5.4877
1.3,8,0,1,2000,0.3,12,3,0,3.5065,9,1.4437
1.3,6,1,1,1200,0.2,6,1,0,1.1401,9,5.9467
1.3,2,1,0,450,0.2,16,1,0,2.4575,9,8.2884
1.3,6,1,1,2350,0.2,6,2,0,1.1534,9,5.8523
1.3,5,1,1,2750,0.1,4,2,0,1.2743,9,6.3694
1.3,1,1,0,3800,0.8,2,1,6.9333e-06,4.5722,9,8.9792
1.3,7,0,0,1000,0.1,16,2,0,1.1084,9,5.2199
1.3,10,0,1,3300,0.1,14,2,0,5.9177,9,0.68439
1.3,6,0,1,3150,0.1,2,2,0,3.7932,9,1.7881
1.3,7,1,1,2100,0.4,16,1,0,1.1563,9,5.0035
1.3,6,1,0,3900,0.5,16,2,0,0.99304,9,6.7973
1.3,8,0,1,3050,0.9,4,3,0,5.7185,9,0.88529
1.3,1,1,0,450,0.9,10,2,0,4.6556,9,8.7467
1.3,2,0,0,1500,0.6,14,3,0,2.6275,9,7.7069
1.3,6,1,1,750,0.4,4,2,0,1.1243,9,6.0081
1.3,1,1,1,2200,0.1,6,3,0,4.9167,9,8.2741
1.3,6,0,0,1400,1,14,3,0,1.4913,9,4.5263
1.3,10,1,1,200,0.4,16,2,0,0.99904,9,4.0539
1.3,4,1,0,1800,0.8,10,1,0,1.2584,9,8.0732
1.3,2,1,1,3150,0.6,12,2,0,2.7408,9,7.3935
1.3,8,1,0,3200,0.3,2,3,0,0.60608,9,8.3574
1.3,6,1,0,1100,1,14,3,0,0.99503,9,6.7837
1.3,7,1,1,950,0.7,4,3,0,1.026,9,5.6391
1.3,8,0,1,3150,0.2,8,1,0,4.835,9,1.0471
1.3,2,1,0,3350,0.8,2,3,0,2.2936,9,8.8759
1.3,2,1,1,200,0.4,8,1,0,2.6647,9,7.6793
1.3,5,0,1,1450,0.5,8,2,0,2.3476,9,3.4503
1.3,4,1,1,400,0.1,8,2,0,1.5575,9,6.5007
1.3,9,0,1,4000,1,10,3,0,8.4025,9,0.53556
1.3,10,1,0,3000,0.4,14,1,0,0.63279,9,6.4002
1.3,1,0,0,1250,0.3,12,1,0,4.6969,9,8.7237
1.3,9,1,0,3800,0.6,4,1,0,0.55937,9,8.0801
1.3,4,1,1,1950,0.3,14,3,0,1.676,9,6.0411
1.3,5,0,1,800,0.7,10,1,0,1.8028,9,4.4929
1.3,1,0,1,1150,0.5,14,1,0,4.8854,9,8.3819
1.3,2,1,0,950,0.3,12,2,0,2.4348,9,8.3227
1.3,9,0,1,2500,0.9,2,2,0,5.2226,9,0.86387
1.3,9,0,0,2100,0.3,4,2,0,1.3008,9,3.4595
1.3,7,0,1,2700,0,16,3,0,3.813,9,1.5174
1.3,6,1,0,1200,0.2,14,1,0,0.9328,9,7.2363
1.3,9,1,1,1600,1,12,2,0,0.99078,9,4.5419
1.3,8,0,1,1950,0.8,10,2,0,3.8708,9,1.3079
1.3,9,0,1,1000,0.8,12,3,0,2.5263,9,1.7812
1.3,5,0,0,2350,0.8,10,2,0,1.6831,9,4.8124
1.3,10,0,1,1750,0.8,8,2,0,4.1095,9,0.98552
1.3,9,0,0,3300,0.4,10,2,0,1.8982,9,2.3707
1.3,2,0,0,900,0.7,4,1,0,2.3894,9,8.5841
1.3,1,1,1,2550,0.5,2,2,3.2e-06,4.8533,9,8.4123
1.3,10,1,0,3300,1,14,1,0,0.63279,9,6.4002
1.3,7,0,1,2400,0.3,2,1,0,3.56,9,1.6432
1.3,2,0,0,1250,0.7,2,2,0,2.4066,9,8.4782
1.3,1,1,1,3400,0.5,12,3,0,5.0175,9,8.0879
1.3,8,1,0,2450,0.5,4,3,0,0.63965,9,7.9145
1.3,2,0,1,2450,0.2,14,3,0,3.2962,9,6.1435
1.3,5,1,1,3750,0.8,10,1,0,1.3394,9,6.0474
1.3,8,1,0,2550,0.5,12,2,0,0.74728,9,6.7746
1.3,9,0,1,2550,0.4,4,2,0,4.6414,9,0.96954
1.3,1,1,1,400,0.6,14,2,0,5.0199,9,8.1004
1.3,2,1,1,1650,0.9,12,3,0,2.7675,9,7.3172
1.3,9,0,1,2650,0.8,16,3,0,5.596,9,0.80415
1.3,7,1,0,950,0.8,10,3,0,0.82073,9,7.0495
1.3,5,1,0,2950,0.6,10,3,0,1.0779,9,7.5148
1.3,10,0,0,3200,0.2,12,2,0,1.7798,9,2.2756
1.3,9,1,1,3100,0.3,14,1,0,0.98879,9,4.551
1.3,9,1,0,1500,0,6,1,0,0.58405,9,7.7048
1.3,8,1,0,3850,0.9,10,1,0,0.69592,9,7.2745
1.3,8,0,1,250,0.1,2,1,0,0.90939,9,5.6256
1.3,4,1,1,1600,1,12,1,0,1.5891,9,6.3789
1.3,6,0,0,1050,0.2,10,2,0,1.1206,9,6.0233
1.3,3,0,0,2000,0.7,4,1,0,1.8606,9,7.3406
1.3,9,1,1,2400,0.4,14,1,0,0.98879,9,4.551
1.3,4,1,1,2350,0.4,6,3,0,1.5417,9,6.5673
1.3,8,1,1,1400,0.4,8,3,0,1.0128,9,4.9985
1.3,7,1,1,400,0,4,2,0,1.0171,9,5.6884
