Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,complexity,scalability
2.1,10,0,1,4450,3,0,1400,96,4,2,1,0,12.3348,16,8.98725
2.1,9,1,0,9800,7,0.7,8850,128,3,14,1,0,507.4146,16,0.05486406
2.1,8,1,0,2950,4,0.9,550,512,8,8,1,0,92.219,16,0.31676
2.1,10,1,1,4500,6,0.9,2150,720,4,14,2,0,12.0821,16,8.85037
2.1,9,1,0,5400,1,0,4600,136,7,2,3,0,15.5658,16,1.78846
2.1,3,1,1,4100,10,0,7450,544,3,4,2,0,15.1884,16,8.97158
2.1,8,0,1,4650,7,0.3,550,872,1,4,2,0,12.7284,16,8.96096
2.1,4,0,0,8500,4,0,1850,304,4,4,3,0,15.4913,16,2.91868
2.1,10,1,1,650,3,0,10000,744,5,8,3,0,12.0125,16,8.90166
2.1,3,0,1,2150,3,0.4,2050,168,6,2,1,0,15.5448,16,8.99916
2.1,6,1,0,1350,4,0.6,8800,568,6,8,2,0,24.9943,16,1.38747
2.1,8,0,1,3050,8,0.9,5800,288,4,8,1,0,12.7689,16,8.93255
2.1,7,0,1,6200,7,1,7300,728,3,4,1,0,13.0412,16,8.97085
2.1,6,1,0,9600,7,0.7,4950,1000,5,16,3,0,333.3604,16,0.104028
2.1,2,0,1,550,10,0.5,4950,416,1,4,2,0,18.1284,16,8.97953
2.1,6,0,1,5950,10,0.6,5650,320,10,16,2,0,13.5032,16,8.8467
2.1,6,1,1,9000,8,0.7,9350,232,5,10,3,0,13.018,16,8.88604
2.1,8,1,1,9400,7,0.2,2100,392,5,14,2,0,12.4466,16,8.85475
2.1,1,0,1,4450,4,0.9,8100,352,8,2,2,3.2e-06,24.8574,16,9.00077
2.1,2,1,0,4350,6,0.4,3050,768,3,10,3,0,33.7252,16,2.32523
2.1,5,0,1,700,3,0.1,8400,432,2,14,2,0,13.8641,16,8.8696
2.1,3,0,0,4000,9,0.5,2250,648,2,4,2,0,73.9554,16,0.73996
2.1,1,1,0,5400,6,0.8,4250,112,7,8,3,0,45.1469,16,3.10385
2.1,2,0,1,1450,5,0,5200,856,1,6,2,0,18.1576,16,8.96358
2.1,1,1,0,3150,3,0.2,4550,104,6,10,2,0,18.1402,16,7.78109
2.1,6,1,1,9700,8,0.7,3950,264,10,12,1,0,12.9983,16,8.89955
2.1,3,1,0,8650,8,0.6,4100,528,3,14,2,0,154.6643,16,0.3568945
2.1,2,0,1,9650,7,0.4,2750,856,3,12,3,0,18.2716,16,8.90227
2.1,6,0,1,5350,2,0.8,9300,160,4,6,2,0,13.3576,16,8.94317
2.1,5,1,0,3650,8,0.3,5650,232,7,2,2,0,58.7698,16,0.651476
2.1,1,1,0,2200,9,0.6,1000,888,1,16,2,0,30.0744,16,4.65907
2.1,5,0,1,8050,8,0.2,7300,384,7,6,2,0,13.7476,16,8.94478
2.1,9,1,1,8800,5,0.4,4650,264,1,16,3,0,12.3592,16,8.8063
2.1,6,0,1,3400,1,0.1,9250,392,2,12,2,0,13.4449,16,8.88504
2.1,10,0,1,7900,1,0.2,750,992,7,4,3,0,12.3773,16,9.30241
2.1,7,1,1,1150,10,0.6,5000,208,9,10,1,0,12.691,16,8.91442
2.1,8,1,0,6200,10,0.8,6550,208,1,10,1,0,480.3197,16,0.06081642
2.1,9,0,0,4250,7,0.2,9650,792,1,10,2,0,81.365,16,0.339935
2.1,3,0,0,7150,1,0.1,6550,656,8,12,1,0,12.782,16,4.28088
2.1,10,0,1,2200,5,0.5,9350,560,6,8,1,0,12.4089,16,8.93059
2.1,5,0,0,9300,4,1,7900,888,6,2,3,0,207.5252,16,0.1828291
2.1,3,0,0,9000,6,0.3,750,864,10,10,2,0,67.3472,16,0.811598
2.1,3,0,1,2500,4,0.7,5950,616,4,2,3,0,15.5537,16,8.98622
2.1,9,1,0,3800,4,0.7,7700,120,8,6,2,0,105.2992,16,0.2643784
2.1,3,0,1,4950,6,0.4,8200,664,10,8,1,0,15.6189,16,8.95194
2.1,2,1,0,4700,4,0.9,3950,192,10,2,2,0,44.1397,16,1.78009
2.1,9,0,0,5750,2,0.2,3700,616,9,8,1,0,32.8927,16,0.840879
2.1,2,1,1,1900,6,0,5200,384,7,12,2,0,17.8849,16,8.91436
2.1,10,0,0,8100,4,0.1,5050,480,2,6,1,0,60.295,16,0.427379
2.1,3,1,0,3050,6,0.2,7950,152,5,10,3,0,20.5354,16,2.68798
2.1,5,0,0,5050,5,0.3,3950,576,7,14,2,0,53.0711,16,0.714491
2.1,1,1,1,5900,7,0.2,6000,768,6,2,1,6.93333e-06,24.6124,16,9.00091
2.1,4,1,0,3750,7,0.1,2700,880,4,4,3,0,20.6723,16,2.20678
2.1,9,0,0,7250,6,0.9,1600,808,4,16,3,0,409.2302,16,0.06758745
2.1,9,1,0,4550,6,0.6,3150,272,8,14,3,0,173.5138,16,0.1604415
2.1,2,1,1,4800,2,0.8,9650,784,2,2,1,6.4e-06,17.7418,16,9.00115
2.1,1,1,1,5750,3,0.2,8150,176,9,10,1,0,24.6736,16,8.9761
2.1,9,1,0,5200,5,0.5,9800,904,10,4,1,0,136.8008,16,0.2036434
2.1,7,1,0,6900,9,1,7900,128,6,6,3,0,518.3531,16,0.06199059
2.1,9,0,1,5800,7,0.6,9150,208,1,16,1,0,12.7181,16,8.8621
2.1,8,0,0,6700,5,0.3,1500,144,2,12,2,0,104.3485,16,0.2779993
2.1,10,1,1,4250,8,1,4000,8,1,2,1,0,11.9028,16,8.98679
2.1,3,1,0,5250,5,1,9300,400,5,2,3,0,92.0957,16,0.60002
2.1,7,0,1,2700,2,0,9500,632,4,14,1,0,13.1647,16,8.88375
2.1,10,1,0,1300,8,0,1650,160,5,2,3,0,6.23974,16,4.15576
2.1,9,1,1,2150,6,0.1,6900,1000,1,6,2,0,12.178,16,8.93734
2.1,7,1,0,6250,4,0.1,8200,232,1,14,1,0,32.0029,16,1.00407
2.1,8,0,1,8500,7,0.6,6150,328,3,6,2,0,12.7576,16,8.94049
2.1,2,0,0,8750,1,0.1,3250,488,1,4,2,0,14.0334,16,5.97022
2.1,4,1,0,6300,8,0.5,8250,224,8,6,2,0,126.2638,16,0.3613136
2.1,6,0,1,4500,3,0.2,4000,752,10,10,1,0,13.3936,16,8.91911
2.1,4,0,0,4250,10,0.2,5500,344,3,12,2,0,52.7509,16,0.857024
2.1,10,1,0,8650,6,0,7350,616,10,12,1,0,25.1703,16,1.03022
2.1,1,0,1,9300,4,0.9,9700,240,7,10,3,0,24.988,16,8.9452
2.1,5,0,0,2350,3,0.7,5450,496,10,10,2,0,31.8161,16,1.19181
2.1,6,1,1,7900,4,0.9,700,864,9,8,3,0,12.9845,16,8.90902
2.1,8,0,0,5150,9,1,9300,792,4,4,1,0,483.0447,16,0.06011544
2.1,2,1,0,9750,9,0.7,600,408,8,8,3,0,155.7965,16,0.5034105
2.1,8,1,0,7450,6,0.5,7900,248,7,4,2,0,212.2585,16,0.1376214
2.1,6,0,1,7400,10,0.8,4550,400,4,10,1,0,13.3936,16,8.91911
2.1,9,1,1,7250,3,0.7,1000,648,2,6,2,0,12.178,16,8.93734
2.1,8,0,1,2050,1,0.6,5250,336,9,16,1,0,12.8676,16,8.864
2.1,1,1,0,3650,7,0.8,6300,816,10,4,1,3.2e-06,39.3238,16,3.57376
2.1,7,0,0,6150,2,0.9,9850,968,1,16,3,0,71.3858,16,0.44689
2.1,8,1,1,3850,4,0.4,8400,816,7,16,1,0,12.4401,16,8.85933
2.1,6,1,0,9050,4,0.6,9300,384,10,4,2,0,144.8712,16,0.2394091
2.1,3,1,0,5050,5,0.7,8550,488,3,8,2,0,65.2711,16,0.845829
2.1,2,0,1,8700,1,0.5,7750,456,5,12,2,0,18.2449,16,8.91605
2.1,3,1,1,9700,2,0,5950,440,1,12,3,0,15.3316,16,8.88353
2.1,7,1,1,3550,4,0.2,9250,848,5,6,3,0,12.6683,16,8.93039
2.1,9,1,1,7750,2,0.7,8450,768,1,4,2,0,12.1489,16,8.95877
2.1,8,0,1,4000,5,0.3,6200,952,5,6,3,0,12.7709,16,8.93116
2.1,6,0,1,8900,4,0.3,1150,688,2,14,2,0,13.4741,16,8.86583
