Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,reliability,scalability
1.2,8,320,3,0,0.18359,10,-0.002958
1.2,21,5888,4,0,0.20048,10,-0.16456
1.2,76,576,3,0,0.18552,10,-0.051916
1.2,45,256,1,0,0.22063,10,-0.010683
1.2,54,2240,2,5.5977e-17,0.227,10,-0.13163
1.2,34,2048,7,0,0.19268,10,-0.093239
1.2,48,9984,7,7.3719e-17,0.22068,10,-0.43412
1.2,30,1984,3,0,0.18675,10,-0.080432
1.2,47,448,3,4.4453e-17,0.18443,10,-0.024834
1.2,28,1152,1,0,0.22181,10,-0.035997
1.2,69,1984,1,0,0.22768,10,-0.14251
1.2,64,2432,8,4.455e-17,0.18772,10,-0.19217
1.2,72,4352,3,0,0.2028,10,-0.33012
1.2,89,2944,10,0,0.19144,10,-0.29094
1.2,8,192,1,0,0.22021,10,-0.001335
1.2,89,192,5,0,0.1768,10,-0.018117
1.2,55,256,10,0,0.17674,10,-0.016383
1.2,84,5184,8,4.4608e-17,0.20685,10,-0.41186
1.2,98,768,6,0,0.18713,10,-0.088762
1.2,40,448,2,4.443e-17,0.22095,10,-0.017809
1.2,89,7680,4,0,0.23708,10,-0.50329
1.2,39,8000,2,0,0.24095,10,-0.3078
1.2,36,4544,3,4.4476e-17,0.19357,10,-0.20898
1.2,43,256,9,0,0.18394,10,-0.012282
1.2,94,192,7,0,0.18942,10,-0.01816
1.2,26,704,8,4.4507e-17,0.17979,10,-0.024026
1.2,9,384,9,4.4506e-17,0.18363,10,-0.0041131
1.2,18,1792,3,0,0.18525,10,-0.045453
1.2,95,2432,3,4.1296e-17,0.19676,10,-0.25981
1.2,85,256,6,0,0.1844,10,-0.024091
1.2,8,832,8,0,0.17923,10,-0.0093305
1.2,12,256,2,0,0.22028,10,-0.0029051
1.2,51,1408,1,0,0.22398,10,-0.078614
1.2,68,2240,7,0,0.19736,10,-0.18123
1.2,96,128,3,0,0.18393,10,-0.01195
1.2,55,5888,2,0,0.24066,10,-0.30496
1.2,71,3968,1,0,0.23705,10,-0.26724
1.2,97,1536,4,0,0.2006,10,-0.1665
1.2,93,896,6,0,0.18766,10,-0.10019
1.2,10,320,5,4.4484e-17,0.17629,10,-0.003984
1.2,31,8384,1,0,0.23747,10,-0.27192
1.2,32,192,1,0,0.22038,10,-0.0052777
1.2,19,2112,9,0,0.18576,10,-0.057628
1.2,73,4928,4,4.4476e-17,0.21483,10,-0.34905
1.2,98,5376,9,Inf,0.23266,10,
1.2,96,1088,1,5.5733e-17,0.22554,10,-0.10694
1.2,39,640,1,0,0.22135,10,-0.026355
1.2,28,8000,1,0,0.23508,10,-0.24457
1.2,49,1984,6,0,0.18884,10,-0.1246
1.2,87,512,3,0,0.18556,10,-0.052777
1.2,26,640,5,4.4453e-17,0.17695,10,-0.022173
1.2,26,2240,6,0,0.18679,10,-0.081342
1.2,46,320,5,4.4484e-17,0.17679,10,-0.017676
1.2,17,7680,5,0,0.18464,10,-0.18868
1.2,62,2432,1,0,0.22869,10,-0.15835
1.2,9,4928,7,0,0.19147,10,-0.066929
1.2,96,4928,8,4.085e-17,0.20847,10,-0.42437
1.2,2,1728,9,0,0.18367,10,-0.0053
1.2,42,320,10,0,0.17673,10,-0.016276
1.2,97,896,4,4.0349e-17,0.19707,10,-0.099049
1.2,53,256,4,0,0.19321,10,-0.014369
1.2,80,9600,10,0,0.22736,10,-0.55376
1.2,74,192,1,0,0.22069,10,-0.012095
1.2,17,6464,10,0,0.1833,10,-0.16444
1.2,9,128,2,0,0.22019,10,-0.00097581
1.2,46,192,9,0,0.18382,10,-0.009094
1.2,88,9600,4,7.2568e-17,0.24897,10,-0.55493
1.2,58,512,1,0,0.22153,10,-0.030138
1.2,60,1216,7,0,0.1925,10,-0.089477
1.2,89,3200,5,0,0.19324,10,-0.31322
1.2,56,128,6,0,0.18375,10,-0.0072976
1.2,12,512,4,0,0.19294,10,-0.0073963
1.2,97,1664,4,0,0.20153,10,-0.18206
1.2,41,1344,10,0,0.17909,10,-0.075914
1.2,47,3648,7,0,0.19902,10,-0.20792
1.2,2,384,4,4.4472e-17,0.19268,10,-0.00093081
1.2,13,6720,4,3.0216e-17,0.1984,10,-0.1288
1.2,72,384,4,4.4472e-17,0.19385,10,-0.029838
1.2,77,192,7,0,0.1893,10,-0.014998
1.2,35,3968,7,0,0.19706,10,-0.17622
1.2,64,128,8,0,0.1792,10,-0.0083518
1.2,71,3648,1,0,0.23569,10,-0.25172
1.2,49,768,3,0,0.1853,10,-0.046521
