Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,1,0,0,2350,0.5,4,3,3.36e-05,8.4039,0,2.6899e-07
1.3,6,1,0,1350,0.2,16,1,0,0.0046127,0,-1.8791e-10
1.3,8,0,0,3150,0,2,3,3.84e-05,60.6008,0,7.3323e-09
1.3,10,1,1,3800,0.8,6,1,0,0.010371,0,-3.1328e-10
1.3,5,1,0,2650,0.4,2,2,0.000312,0.0013632,0,8.9174e-08
1.3,9,1,1,8350,0.3,8,3,0,0.01171,0,-2.8186e-10
1.3,5,1,1,2000,0.2,2,2,0.000312,0.0098632,0,8.9174e-08
1.3,1,1,0,1850,0.5,6,2,3.36e-05,0.0052718,0,3.4895e-07
1.3,1,0,0,4400,0.3,6,2,3.36e-05,13.805,0,3.48947e-07
1.3,4,0,0,1550,0.4,4,3,1.92e-05,20.7016,0,8.64038e-09
1.3,7,1,1,6550,0.5,2,2,0.0002016,0.0096309,0,5.0952e-08
1.3,6,1,0,1800,0.1,2,1,0.0002016,0.0016505,0,1.1973e-07
1.3,10,1,1,1800,0.4,4,2,0,0.01002,0,-3.1328e-10
1.3,6,1,0,5000,0.7,2,1,0.0002016,0.0016505,0,1.1973e-07
1.3,3,0,0,6150,0.2,2,2,0.0001008,53.1017,0,1.26188e-07
1.3,2,0,0,4400,0.3,4,2,4.8e-05,27.6027,0,1.60631e-07
1.3,7,1,0,650,0.6,2,3,0.0001344,0.0010454,0,2.3005e-08
1.3,4,1,0,1500,0.6,12,1,1.92e-05,0.0036466,0,1.6636e-08
1.3,10,1,0,6550,0.7,4,2,0,0.0015203,0,-3.1328e-10
1.3,4,0,0,3550,0.6,4,3,1.92e-05,54.9016,0,8.64038e-09
1.3,4,1,0,1900,0.7,8,2,0,0.0028129,0,-1.2506e-10
1.3,7,1,1,1350,0.6,10,2,0,0.011961,0,-2.1878e-10
1.3,6,1,1,700,0.5,2,2,8.64e-05,0.0097341,0,4.9691e-08
1.3,10,0,1,850,0.4,2,1,0.000624,28.5266,0,1.15343e-07
1.3,5,0,0,2200,0.2,2,2,0.000312,31.8011,0,8.9174e-08
1.3,6,0,0,1600,0.3,2,1,0.0002016,30.0014,0,1.19733e-07
1.3,1,1,1,4400,0.8,2,1,0.000744,0.016271,0,6.2905e-07
1.3,1,0,1,9400,0.6,2,2,0.0003984,36.3341,0,3.84459e-07
1.3,3,1,0,700,0.4,8,3,0,0.0032077,0,-9.3765e-11
1.3,7,1,0,3450,0.4,4,1,0.0002016,0.0017606,0,7.0942e-08
1.3,4,0,0,1550,0.1,4,3,1.92e-05,16.5016,0,8.64038e-09
1.3,4,0,0,2800,0.5,2,3,5.76e-05,40.5012,0,5.26996e-08
1.3,4,0,0,5150,0.3,4,2,0.0002112,64.5017,0,6.64972e-08
1.3,9,1,0,9400,0.6,2,1,0.0003024,0.0012676,0,8.8174e-08
1.3,4,0,1,7850,0.6,14,3,0,121.3042,0,-1.250561e-10
1.3,6,1,1,750,0.8,6,2,0,0.010666,0,-1.8791e-10
1.3,9,0,0,8600,0.4,4,3,0,261.0015,0,-2.818602e-10
1.3,4,1,1,950,0.6,4,2,0.0002112,0.010407,0,6.6497e-08
1.3,6,1,0,6950,1,10,3,0,0.0039548,0,-1.8791e-10
1.3,6,0,1,900,0.9,14,1,0,24.922,0,-1.87907e-10
1.3,3,1,0,2200,0,4,2,4.32e-05,0.0022429,0,8.5263e-08
1.3,8,0,1,900,0.5,14,3,0,25.8274,0,-2.50415e-10
1.3,10,0,1,900,0.9,6,1,0,41.4319,0,-3.13283e-10
1.3,6,1,1,4850,0.7,2,1,0.0002016,0.010151,0,1.1973e-07
1.3,5,0,0,1750,0.7,16,1,0,36.0044,0,-1.56357e-10
1.3,6,1,0,5300,0.1,12,2,0,0.0041083,0,-1.8791e-10
1.3,10,1,1,500,0.2,2,1,0.000624,0.0096911,0,1.1534e-07
1.3,8,1,0,750,0.7,10,3,0,0.0039555,0,-2.5042e-10
1.3,2,0,1,2350,1,2,3,6.72e-05,22.818,0,1.40046e-07
1.3,4,0,0,4550,0.4,2,1,0.0002112,61.502,0,1.84251e-07
1.3,3,0,0,9700,0.4,14,1,5.76e-05,98.1042,0,4.89717e-08
1.3,10,1,1,3050,0.1,4,2,0,0.01002,0,-3.1328e-10
1.3,1,0,0,8350,0.5,12,2,1.44e-05,30.3061,0,2.4324e-07
1.3,9,1,1,700,0.2,8,2,0,0.011315,0,-2.8186e-10
1.3,1,0,0,1650,0.1,2,2,0.0003984,4.5045,0,3.8446e-07
1.3,6,0,1,600,0.2,4,3,0,10.5119,0,-1.87907e-10
1.3,2,1,0,600,0.7,2,3,6.72e-05,0.0021628,0,1.4005e-07
1.3,10,1,0,650,0.3,4,1,0.000288,0.0014764,0,4.8753e-08
1.3,3,1,0,850,0.7,4,2,4.32e-05,0.0022429,0,8.5263e-08
1.3,10,1,0,2400,0.9,16,3,0,0.0061946,0,-3.1328e-10
1.3,4,1,1,3700,0.5,2,2,9.6e-05,0.01007,0,8.8222e-08
1.3,4,1,0,9150,0.7,8,3,0,0.003208,0,-1.2506e-10
1.3,10,1,0,6150,0.5,2,2,0.000288,0.00096363,0,4.1756e-08
1.3,9,1,0,1450,0.2,2,1,0.0003024,0.0012676,0,8.8174e-08
1.3,9,0,0,1250,0.9,2,3,0,51.9007,0,-2.8186e-10
1.3,6,0,1,1150,0.7,8,2,0,28.5249,0,-1.87907e-10
