e_SQS,queue_size,timeout,e_S3,e_lambda,parallel_instances,lambda_chunk_size,time,cost
1,220,0.3,1,1,1000,256,3.90625,0.002564727
1,400,0.5,1,1,1,300,3.378378,1.017843e-05
1,16,9,1,1,120,300,3.378378,0.0003641813
1,50,0.5,1,1,600,256,3.90625,0.001540719
1,8,2,1,1,2,410,2.45098,1.145105e-05
1,220,0.1,1,1,180,24,41.66667,8.566701e-05
1,24,0.5,1,1,2,320,3.125,1.032505e-05
1,120,1,1,1,1,32,31.25,3.707404e-05
1,50,5,1,1,1,16,59.2,6.4736e-05
1,600,3,1,1,24,256,3.90625,3.54265e-05
1,400,0.1,1,1,300,128,7.8125,0.0003926156
1,220,10,1,1,500,128,7.8125,0.0006486176
1,700,0.1,1,1,16,300,3.378378,5.217876e-05
1,220,9,1,1,2,340,2.97619,1.057624e-05
1,8,0.3,1,1,1000,48,20.83333,0.0005016372
1,16,0.3,1,1,16,300,3.378378,5.217876e-05
1,800,3,1,1,2,128,7.8125,1.373254e-05
1,220,0.8,1,1,24,360,2.777778,8.997847e-05
1,400,0.5,1,1,8,360,2.777778,3.237801e-05
1,400,0.5,1,1,32,32,31.25,4.229008e-05
1,12,5,1,1,50,256,3.90625,0.0001327073
1,180,10,1,1,700,192,5.208333,0.001350019
1,800,8,1,1,8,192,5.208333,1.368839e-05
1,800,7,1,1,500,360,2.777778,0.000903585
1,50,0.1,1,1,120,32,31.25,7.045031e-05
1,8,0.5,1,1,50,48,20.8333,4.56335e-05
1,120,4,1,1,1,16,59.2,6.473604e-05
1,300,4,1,1,1000,380,2.659574,0.00380349
1,700,3,1,1,1000,256,3.90625,0.001284716
1,32,0.1,1,1,8,164,6.25,2.01701e-05
1,16,2,1,1,700,256,3.90625,0.001796721
1,700,0.5,1,1,16,192,4.6875,3.313572e-05
1,24,0.3,1,1,1,300,3.378378,1.017843e-05
1,800,9,1,1,12,192,5.208333,1.752843e-05
1,24,0.5,1,1,16,320,3.125,5.512541e-05
1,12,6,1,1,700,164,6.25,0.001155059
1,8,9,1,1,700,410,2.45098,0.002873274
1,800,1,1,1,400,24,37.5,0.0001247007
1,300,10,1,1,500,12,125,0.0001858005
1,16,1,1,1,700,12,125,0.0002098007
1,400,5,1,1,2,12,118.4,0.0001263041
1,600,4,1,1,700,64,15.625,0.0002404268
1,32,3,1,1,220,128,7.8125,0.0002902148
1,32,2,1,1,12,64,15.625,2.41051e-05
1,32,5,1,1,1000,320,3.125,0.003203951
1,600,3,1,1,300,256,3.90625,0.0003887093
1,300,3,1,1,4,340,2.97619,1.73763e-05
1,100,0.5,1,1,700,380,2.659574,0.002663481
1,32,7,1,1,120,410,2.45098,0.0004952549
