Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
2.1,3,0,0,3050,10,0.3,7650,20,3,4,3,0.0003456,1.4078,0,4.9199e-05
2.1,8,0,1,7650,2,0.5,3100,21,9,4,1,0.0018432,1.4728,0,0.00013396
2.1,6,1,0,1550,4,0.4,5550,135,10,4,1,,0.72848,0,
2.1,10,0,0,6250,8,0.5,8100,711,4,2,2,0.00052773,7.4416,0,2.608e-05
2.1,2,1,0,3900,5,1,5100,10,10,6,2,4.8e-05,1.713,0,6.9583e-05
2.1,4,0,1,5500,1,0.8,7550,142,9,2,3,0.00023484,1.6176,0,0.00014698
2.1,2,1,0,7900,2,0.8,7250,23,3,10,3,0,1.2227,0,6.9457e-05
2.1,7,0,1,8450,10,0.1,2150,377,8,2,2,0.0012632,1.5008,0,0.00013645
2.1,8,1,1,8350,8,0.6,9900,645,10,4,1,,1.4075,0,
2.1,6,0,1,7950,4,0.2,4100,28,9,6,2,0,1.5213,0,0.00013813
2.1,5,0,1,7350,6,0.7,9650,9,1,2,3,0.000408,1.5488,0,0.00014073
2.1,3,0,1,3300,8,0.9,3100,220,5,4,2,0.00015444,1.6969,0,0.00015419
2.1,7,1,1,9000,4,0.3,5750,481,1,12,2,0,1.4519,0,0.00013157
2.1,7,1,1,8500,10,0.2,2300,359,8,8,2,0,1.4504,0,0.00013158
2.1,1,1,1,8850,5,0.4,6350,72,3,4,3,0.0001872,2.4067,0,0.00021871
2.1,2,0,1,3700,8,1,5250,96,6,2,3,0.00026459,1.9097,0,0.0001736
2.1,5,1,0,850,9,0.7,5650,87,3,4,1,0.00037535,1.1103,0,3.6148e-05
2.1,8,1,1,4700,3,0.7,2100,117,10,2,1,,1.4077,0,
2.1,1,0,1,2200,2,0.4,1050,22,9,6,3,0.0004704,2.5951,0,0.00023896
2.1,4,0,1,4100,9,1,2500,123,9,10,1,0.00020015,1.6194,0,0.00014698
2.1,4,1,0,3100,4,0.6,3200,220,10,2,3,,1.159,0,
2.1,6,0,0,8850,8,0,3700,12,1,2,2,0.000144,0.72699,0,3.3182e-05
2.1,7,1,1,8050,8,0.2,5150,268,8,14,1,0,1.451,0,0.00013154
2.1,4,0,1,7300,7,0.3,1200,181,4,10,2,0,1.6194,0,0.00014694
2.1,2,0,1,1650,7,0.4,8650,8,2,2,2,0.0001632,1.9107,0,0.00017367
2.1,9,0,0,3850,3,0.5,3150,65,8,2,3,0,1.5841,0,2.7763e-05
2.1,8,1,1,6950,1,0.2,3100,56,2,12,3,0,1.423,0,0.00012894
2.1,6,1,0,3450,1,0.6,3150,907,10,2,3,,0.30988,0,
2.1,8,1,1,2150,8,0.1,5600,181,2,2,3,8.74e-05,1.4195,0,0.00012893
2.1,9,1,1,3850,2,0.3,700,481,9,8,1,0,1.4099,0,0.00012793
2.1,10,1,1,1600,5,0,1250,87,6,2,1,0.00075141,1.3901,0,0.00012636
2.1,3,1,0,3500,9,0.2,9200,12,1,4,3,0.0002736,1.0951,0,4.9858e-05
2.1,10,0,0,5300,9,0.5,7850,68,7,2,3,0,7.2262,0,2.6033e-05
2.1,9,0,0,1350,4,0.5,8300,9,4,12,2,0,1.081,0,2.78e-05
2.1,2,0,1,6950,3,1,7350,49,3,2,3,0.00062023,1.9098,0,0.00017362
2.1,7,1,0,550,2,0.6,500,173,2,6,1,0.00038278,0.48241,0,3.6513e-05
2.1,2,0,0,9850,1,1,7600,295,2,16,3,0,0.89209,0,6.8413e-05
2.1,3,0,1,9950,2,0.4,4350,30,1,2,1,0.0052992,1.6983,0,0.00015492
2.1,5,1,0,2800,7,0.9,1600,28,7,4,2,0.000576,2.662,0,3.6155e-05
2.1,8,0,1,8050,2,0.5,9700,68,4,8,3,0,1.4738,0,0.0001337
2.1,6,1,1,600,5,1,7400,106,6,6,2,0,1.4697,0,0.00013346
2.1,9,1,1,1800,5,0.8,1800,33,9,2,3,0,1.409,0,0.00012799
