Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,reliability,scalability
1.2,49,7040,5,0,0.19857,0,1.6013e-05
1.2,94,512,1,0,0.22239,0,2.0013e-05
1.2,92,576,10,5.7456e-17,0.17862,0,1.6013e-05
1.2,23,448,9,0,0.18394,0,1.668e-05
1.2,97,1024,9,0,0.18861,0,1.668e-05
1.2,19,5632,3,0,0.19026,0,1.668e-05
1.2,47,4544,7,4.4476e-17,0.2019,0,1.7156e-05
1.2,44,128,4,0,0.19286,0,1.7513e-05
1.2,13,128,7,0,0.18879,0,1.7156e-05
1.2,78,1792,4,0,0.20034,0,1.7513e-05
1.2,38,192,7,0,0.18901,0,1.7156e-05
1.2,27,320,5,4.4484e-17,0.17652,0,1.6013e-05
1.2,33,9152,7,7.3082e-17,0.20887,0,1.7155e-05
1.2,51,3968,2,0,0.23229,0,2.0013e-05
1.2,81,256,3,0,0.18434,0,1.668e-05
1.2,66,256,9,0,0.18418,0,1.668e-05
1.2,50,7360,2,0,0.24407,0,2.0013e-05
1.2,18,7680,5,0,0.18514,0,1.6013e-05
1.2,34,320,5,4.4484e-17,0.17662,0,1.6013e-05
1.2,8,3776,7,0,0.19054,0,1.7156e-05
1.2,47,320,1,4.4418e-17,0.2208,0,2.0013e-05
1.2,44,6144,4,0,0.20977,0,1.7513e-05
1.2,53,384,5,0,0.17703,0,1.6013e-05
1.2,88,1216,9,1.0854e-16,0.1891,0,1.6689e-05
1.2,14,2816,3,4.4468e-17,0.18578,0,1.668e-05
1.2,19,384,10,0,0.17647,0,1.6013e-05
1.2,96,8768,4,0,0.24877,0,1.7513e-05
1.2,6,3968,2,0,0.22158,0,2.0013e-05
1.2,12,6464,4,0,0.19769,0,1.7513e-05
1.2,45,128,8,0,0.17911,0,1.6263e-05
1.2,66,128,5,0,0.17646,0,1.6013e-05
1.2,14,256,5,0,0.1763,0,1.6013e-05
1.2,90,2560,1,0,0.23359,0,2.0013e-05
1.2,60,512,8,0,0.18033,0,1.6263e-05
1.2,53,1600,6,0,0.18815,0,1.668e-05
1.2,32,9984,2,2.7984e-17,0.24145,0,2.0013e-05
1.2,11,3776,4,0,0.19514,0,1.7513e-05
1.2,96,384,6,4.4472e-17,0.18509,0,1.668e-05
1.2,1,4928,2,4.4443e-17,0.22045,0,2.0013e-05
1.2,20,256,1,0,0.22036,0,2.0013e-05
1.2,28,9984,4,7.2472e-17,0.21129,0,1.7513e-05
1.2,49,320,6,1.0039e-16,0.18417,0,1.668e-05
1.2,79,1984,10,0,0.18477,0,1.6013e-05
1.2,99,4928,2,4.4443e-17,0.25023,0,2.0013e-05
1.2,48,5632,6,0,0.20061,0,1.668e-05
1.2,72,8384,4,0,0.23289,0,1.7513e-05
1.2,18,1088,6,0,0.1845,0,1.668e-05
1.2,29,8768,7,0,0.20568,0,1.7155e-05
1.2,71,1280,7,0,0.19358,0,1.7156e-05
1.2,24,3776,2,0,0.22559,0,2.0013e-05
1.2,65,9984,7,7.3719e-17,0.232,0,1.7155e-05
1.2,43,2944,10,0,0.18354,0,1.6013e-05
