Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,lambda_parallel_instances,lambda_allocated_memory,latency,cost,reliability,scalability
2.2,8,1,0,6600,6,0.9,3500,149,3,87,1792,0,7.4845,0,2.8841e-05
2.2,8,1,0,2550,4,0,4250,18,9,98,640,0,0.4363,0,2.9078e-05
2.2,6,0,1,9500,3,0.5,500,36,10,33,192,0,1.5387,0,0.00014015
2.2,10,1,0,2900,4,0.4,5150,614,8,90,256,0,1.4589,0,2.6209e-05
2.2,6,1,1,3300,10,0.5,2650,62,6,9,4160,0,1.4685,0,0.00013345
2.2,10,1,0,950,7,0.5,7350,10,8,2,1792,0,1.1671,0,2.6185e-05
2.2,3,1,0,7100,9,0.7,9700,123,4,25,576,0,4.1146,0,4.9756e-05
2.2,4,0,0,9100,6,0.8,1900,458,1,20,1664,0,4.9599,0,4.1889e-05
2.2,2,0,0,8200,6,0.1,7100,17,8,92,320,0,1.1124,0,6.8493e-05
2.2,4,1,0,7900,6,0.8,4600,135,5,92,9984,0,4.3029,0,4.2756e-05
2.2,2,1,1,2100,10,0.8,1050,784,5,94,2816,0,1.8644,0,0.00016941
2.2,1,1,0,7700,5,0.5,5600,268,7,87,832,0,1.7917,0,0.00011842
2.2,7,0,1,7300,9,0.5,8750,11,1,8,2944,0,1.5016,0,0.00013636
2.2,9,0,1,5850,9,1,1800,117,3,78,256,0,1.4607,0,0.00013274
2.2,4,0,0,6050,3,0.6,7050,44,5,36,256,0,1.5139,0,4.194e-05
2.2,3,1,1,8750,6,1,600,30,4,47,3328,3.2279e-17,1.6511,0,0.00014987
2.2,10,0,0,3750,5,0.5,4600,342,9,71,704,5.6543340436e-17,7036877.2596,0,781.87496125
2.2,5,0,1,6950,4,0,9200,23,3,54,1856,0,1.5507,0,0.00014093
2.2,9,0,1,1850,10,0.2,4350,416,9,10,448,0,1.4613,0,0.00013276
2.2,6,0,1,6000,4,0.5,9100,220,8,75,1088,0,1.5199,0,0.00013804
2.2,5,1,1,8750,10,0.6,9250,505,9,71,832,0,1.4965,0,0.00013601
2.2,6,1,1,5400,5,0.9,1200,46,9,83,9984,2.973e-17,1.4784,0,0.00013442
2.2,6,1,1,2700,9,0.9,900,281,9,50,4160,0,1.4686,0,0.00013342
2.2,8,0,0,4600,1,0.6,1600,149,1,57,1408,0,0.56793,0,2.8564e-05
2.2,7,0,1,9550,2,0.5,4400,326,1,45,128,0,1.4996,0,0.00013625
2.2,9,1,1,3950,1,0.7,7800,44,3,69,3072,0,1.4119,0,0.00012823
2.2,2,0,0,6100,4,0.3,5000,75,10,93,5888,0,1.1709,0,6.8801e-05
2.2,3,1,1,1600,3,0.3,6850,190,5,34,4160,0,1.6483,0,0.00014977
2.2,5,1,1,7700,1,0,650,505,5,91,192,0,1.4966,0,0.00013599
2.2,7,0,0,8700,9,0.1,5550,12,2,5,704,0,2.2117,0,3.129e-05
