1.1,1.2,1.3,1.4,2.1,2.2,3.0,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,lambda_parallel_instances,lambda_allocated_memory,ec2_vcpus,ec2_memorylevel,ec2_instances,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,latency,cost,reliability,scalability
0,0,0,0,1,0,0,7,0.0,1.0,2750.0,5.0,0.3,2300.0,18.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5021,0,0.00013632
0,0,0,0,1,0,0,9,1.0,0.0,2300.0,9.0,0.3,3950.0,75.0,8.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8648,0,2.8017e-05
0,0,0,0,1,0,0,5,1.0,0.0,7700.0,10.0,0.1,3650.0,149.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000312,1.6175,0,3.6089e-05
0,0,0,0,1,0,0,4,0.0,0.0,2450.0,8.0,0.0,2000.0,72.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005376,0.53026,0,4.2134e-05
0,0,0,0,1,0,0,7,1.0,0.0,5750.0,3.0,0.7,700.0,255.0,8.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2084,0,3.1598e-05
0,0,0,0,1,0,0,9,0.0,0.0,7600.0,9.0,0.2,4550.0,952.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00079103,4.0278,0,2.7847e-05
0,0,0,0,1,0,0,2,1.0,1.0,9450.0,6.0,0.6,750.0,645.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031672,1.8658,0,0.00016957
0,0,0,0,1,0,0,6,0.0,0.0,3650.0,9.0,1.0,7200.0,21.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0765,0,3.3126e-05
0,0,0,0,1,0,0,4,0.0,1.0,1550.0,1.0,0.6,1950.0,614.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6626,0,0.00015169
0,0,0,0,1,0,0,1,0.0,0.0,8100.0,3.0,1.0,500.0,10.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001104,1.9758,0,0.00013528
0,0,0,0,1,0,0,3,0.0,1.0,8050.0,10.0,0.5,3600.0,46.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025526,1.6976,0,0.00015424
0,0,0,0,1,0,0,10,1.0,0.0,4050.0,6.0,0.3,7400.0,26.0,3.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0,2.6248e-05
0,0,0,0,1,0,0,2,1.0,0.0,8450.0,10.0,0.6,4400.0,40.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014005,3.4992,0,6.9569e-05
0,0,0,0,1,0,0,10,0.0,1.0,8050.0,7.0,0.1,3200.0,20.0,5.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4452,0,0.00013108
0,0,0,0,1,0,0,3,1.0,0.0,2800.0,8.0,1.0,2600.0,92.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031532,2.2956,0,4.9867e-05
0,0,0,0,1,0,0,3,0.0,0.0,9250.0,5.0,0.4,5100.0,26.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052992,2.05,0,4.9921e-05
0,0,0,0,1,0,0,6,1.0,0.0,7300.0,4.0,0.5,9350.0,27.0,10.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5194,0,3.3507e-05
0,0,0,0,1,0,0,7,1.0,1.0,6550.0,8.0,0.8,3150.0,458.0,8.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4509,0,0.00013152
0,0,0,0,1,0,0,1,0.0,0.0,3650.0,6.0,0.5,1700.0,59.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00086016,1.5787,0,0.00011683
0,0,0,0,1,0,0,5,1.0,1.0,5800.0,5.0,0.6,7800.0,40.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037535,1.4978,0,0.00013609
0,0,0,0,1,0,0,6,1.0,1.0,7300.0,2.0,0.1,4200.0,75.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4695,0,0.00013344
0,0,0,0,1,0,0,8,1.0,0.0,5450.0,1.0,0.8,6250.0,326.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010072,0.56805,0,2.9051e-05
0,0,0,0,1,0,0,7,0.0,1.0,1900.0,7.0,0.7,5150.0,92.0,7.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5044,0,0.00013636
0,0,0,0,1,0,0,8,0.0,0.0,3250.0,9.0,0.5,3700.0,416.0,9.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6716,0,2.857e-05
0,0,0,0,1,0,0,9,1.0,1.0,4800.0,8.0,0.2,8050.0,68.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012528,1.4092,0,0.00012818
0,0,0,0,1,0,0,1,0.0,1.0,4800.0,7.0,0.7,8000.0,106.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023025,2.4431,0,0.00022213
0,0,0,0,1,0,0,6,0.0,0.0,5100.0,8.0,0.9,6550.0,677.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4839,0,0.0
0,0,0,0,1,0,0,3,0.0,0.0,5800.0,9.0,0.8,9300.0,59.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1366,0,4.9101e-05
0,0,0,0,1,0,0,9,1.0,0.0,4250.0,7.0,0.5,8000.0,173.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8439,0,2.8006e-05
0,0,0,0,1,0,0,6,1.0,1.0,4900.0,10.0,0.4,4500.0,46.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0,0.00013347
0,0,0,0,1,0,0,4,1.0,1.0,1400.0,1.0,0.4,2300.0,36.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028021,1.5688,0,0.00014249
0,0,0,0,1,0,0,4,0.0,1.0,5700.0,7.0,0.1,5200.0,11.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0,0.00014696
0,0,0,0,1,0,0,8,1.0,1.0,6150.0,6.0,0.5,6850.0,20.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4224,0,0.00012898
0,0,0,0,1,0,0,6,1.0,1.0,4200.0,2.0,0.7,7150.0,96.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00055893,1.4689,0,0.00013351
0,0,0,0,1,0,0,8,0.0,1.0,6250.0,1.0,0.9,2450.0,907.0,6.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4735,0,0.00013366
