Topology,car_cache,ec2_vcpus,ec2_memorylevel,ec2_instances,latency,cost,reliability,scalability
3,6,10,1,9,0.012667,0.18366,0,1.6679e-05
3,3,2,2,54,0.011611,0.18365,0,1.668e-05
3,1,10,2,37,0.013056,0.22032,0,2.0013e-05
3,7,4,3,6,0.012111,0.18891,0,1.7155e-05
3,2,12,2,24,0.013889,0.22032,0,2.0013e-05
3,6,14,1,2,0.013056,0.18366,0,1.6679e-05
3,5,2,2,61,0.011611,0.17633,0,1.6013e-05
3,4,10,3,56,0.013889,0.19283,0,1.7513e-05
3,3,2,1,30,0.011417,0.18365,0,1.6679e-05
3,4,4,3,28,0.012111,0.19282,0,1.7513e-05
3,10,6,2,98,0.012667,0.17634,0,1.6011e-05
3,10,4,1,50,0.011889,0.17633,0,1.6012e-05
3,6,14,3,99,0.015833,0.18367,0,1.6679e-05
3,5,10,2,59,0.013056,0.17632,0,1.6013e-05
3,5,4,1,39,0.011889,0.17632,0,1.6013e-05
3,5,2,2,36,0.011611,0.17633,0,1.6012e-05
3,10,6,1,1,0.012111,0.17633,0,1.6012e-05
3,10,14,1,45,0.013056,0.17633,0,1.6012e-05
3,5,6,1,83,0.012111,0.17633,0,1.6013e-05
3,6,6,1,44,0.012111,0.18367,0,1.6679e-05
3,4,8,3,48,0.013056,0.19282,0,1.7513e-05
3,6,2,3,56,0.011611,0.18367,0,1.6679e-05
3,10,2,1,44,0.011417,0.17633,0,1.6012e-05
3,8,2,3,28,0.011611,0.17908,0,1.6263e-05
3,3,2,2,25,0.011611,0.18365,0,1.6679e-05
3,9,14,3,59,0.015833,0.18366,0,1.6679e-05
3,6,4,2,45,0.012111,0.18366,0,1.6679e-05
3,8,2,1,3,0.011722,0.17908,0,1.6297e-05
