Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,1,0,1,900,0.7,8,1,5.28e-05,3.6109,0,6.4947e-07
1.3,5,0,1,1350,0.9,2,3,0.000216,31.2237,0,5.20301e-08
1.3,1,0,1,3800,0.1,8,1,5.28e-05,9.9186,0,6.4947e-07
1.3,5,1,1,1100,0,10,1,0,0.011522,0,5.9387e-09
1.3,3,0,0,900,0.4,6,3,0,9.0022,0,-9.3765e-11
1.3,2,0,0,4700,0.6,16,3,0,36.306,0,-6.25073e-11
1.3,9,1,0,1850,0.4,6,3,0,0.0024637,0,-2.8186e-10
1.3,6,1,0,1150,0.6,4,3,0,0.0017165,0,-1.8791e-10
1.3,10,0,1,1150,0.8,4,1,0.000288,50.1391,0,4.87529e-08
1.3,3,0,0,1950,0.2,4,2,4.32e-05,16.802,0,8.52633e-08
1.3,2,1,0,4050,0.8,2,3,6.72e-05,0.0021628,0,1.4005e-07
1.3,10,0,1,6000,0.8,10,3,0,261.5011,0,-3.132825e-10
1.3,1,1,1,4400,0.1,2,2,0.0003984,0.013189,0,3.8446e-07
1.3,1,1,1,1200,0,2,1,0.000744,0.016271,0,6.2905e-07
1.3,3,1,0,550,0.8,2,3,0.0001008,0.0016409,0,8.5717e-08
1.3,4,1,1,2550,0.3,10,2,0,0.01196,0,-1.2506e-10
1.3,9,1,0,600,0.4,8,1,0,0.0024195,0,-2.8186e-10
1.3,8,0,0,1900,0,2,2,0.0004224,36.6008,0,6.82607e-08
1.3,9,1,0,3900,0.2,12,1,0,0.0035167,0,-2.8186e-10
1.3,10,0,1,650,0.2,4,3,0,18.6202,0,-3.13283e-10
1.3,6,1,1,2350,0.1,2,3,0.0002592,0.0096196,0,4.5192e-08
1.3,7,1,1,1950,0.4,2,3,0.0001344,0.0095454,0,2.3005e-08
1.3,7,0,1,3350,0.8,8,2,0,102.3798,0,-2.187842e-10
1.3,4,1,0,6950,0,14,1,0,0.0040635,0,-1.2506e-10
1.3,10,0,1,700,0.6,4,2,0,27.3234,0,-3.13283e-10
1.3,10,1,1,650,0.4,2,3,0,0.0094718,0,-3.1328e-10
1.3,10,1,0,6150,0.5,8,1,0,0.0024199,0,-3.1328e-10
1.3,5,1,0,900,0.5,2,2,0.000312,0.0013632,0,8.9174e-08
1.3,8,0,1,6000,0.4,2,3,3.84e-05,162.1456,0,7.332301e-09
1.3,6,1,1,4400,0,10,2,0,0.011961,0,-1.8791e-10
1.3,7,0,0,750,1,2,1,0.0004368,25.5013,0,1.2755e-07
1.3,2,0,0,4550,0.3,2,2,0.0001056,28.5024,0,2.01555e-07
1.3,3,0,1,2400,0.8,8,3,0,31.5267,0,-9.37648e-11
1.3,3,1,0,2700,0.9,14,1,5.76e-05,0.0044471,0,4.8972e-08
1.3,2,1,1,2550,0.7,2,2,0.0001056,0.011079,0,2.0156e-07
1.3,7,0,1,900,0,10,1,0,15.02,0,-2.18784e-10
1.3,2,1,0,4550,1,6,2,2.88e-05,0.0032524,0,1.2397e-07
1.3,4,0,0,550,0.2,2,2,9.6e-05,6.3013,0,8.8222e-08
1.3,3,0,0,2650,0.5,2,1,0.000216,28.5026,0,2.48205e-07
1.3,6,1,1,850,1,2,2,8.64e-05,0.0097341,0,4.9691e-08
1.3,5,1,1,4300,0.6,4,2,0.000144,0.0102,0,3.5983e-08
1.3,5,1,0,5650,0.8,6,2,0,0.0021659,0,-1.5636e-10
1.3,4,1,1,1450,0.4,8,3,0,0.011708,0,-1.2506e-10
1.3,6,1,0,1150,0.8,4,3,0,0.0017165,0,-1.8791e-10
1.3,5,1,0,1550,0.3,10,2,0,0.0034606,0,-1.5636e-10
1.3,10,1,0,3250,0.6,2,3,0,0.00097178,0,-3.1328e-10
1.3,5,0,0,600,0.1,4,3,0,7.8015,0,-1.5636e-10
1.3,5,1,0,3000,0.8,4,1,0.000312,0.0021549,0,1.2716e-07
1.3,10,0,0,2900,0.7,2,3,0,119.1007,0,-3.132825e-10
1.3,5,1,1,2000,0.6,2,2,0.000312,0.0098632,0,8.9174e-08
1.3,3,0,0,1250,0.9,2,3,0.0001008,17.4014,0,8.57173e-08
1.3,2,0,1,4550,0.3,10,2,5.76e-05,28.5305,0,5.66856e-08
1.3,5,1,1,3450,0.5,10,1,0,0.011522,0,5.9387e-09
1.3,10,1,0,1300,0.8,10,3,0,0.0039562,0,-3.1328e-10
1.3,5,0,1,1850,0,16,1,0,22.2298,0,-1.56357e-10
1.3,10,1,1,4550,1,4,3,0,0.010218,0,-3.1328e-10
1.3,6,0,1,9150,0.7,14,1,0,225.7807,0,-1.879068e-10
1.3,5,1,1,2550,0.4,2,1,0.00012,0.01037,0,1.3508e-07
1.3,3,1,1,1500,0.4,4,1,0.0001008,0.011576,0,2.0615e-07
1.3,2,1,1,5000,0.1,6,2,2.88e-05,0.011752,0,1.2397e-07
1.3,7,1,0,4550,1,2,2,0.0002016,0.0011309,0,5.0952e-08
1.3,5,1,0,800,0.3,10,1,0,0.0030216,0,5.9387e-09
1.3,1,0,0,5150,1,2,3,7.2e-05,24.9035,0,3.13045e-07
1.3,7,1,0,3450,0.3,2,1,0.0004368,0.0014863,0,1.2755e-07
1.3,8,1,1,2700,0.6,6,1,3.84e-05,0.010436,0,1.133e-08
