Topology,lambda_parallel_instances,lambda_allocated_memory,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,car_cache,latency,cost,reliability,scalability
1.4,12,4544,1,1,8600,0.1,9,0,0.016174,0,-6.2567e-10
1.4,65,1280,0,1,700,0.7,5,4.44548e-17,14.8461,0,-2.56243e-10
1.4,75,768,1,1,5150,0,7,4.4509e-17,0.012871,0,-2.7373e-10
1.4,65,2112,0,0,900,0.7,10,0,37.7436,0,-5.70861e-10
1.4,47,1408,0,1,1450,0,9,0,31.7492,0,-4.53183e-10
1.4,67,384,1,1,4400,0.6,7,5.6825e-17,0.010182,0,-1.963e-10
1.4,62,3456,0,0,900,1,6,0,26.5659,0,-3.83944e-10
1.4,30,2112,0,1,1850,0.4,2,0,12.5936,0,-1.08577e-10
1.4,88,192,1,0,800,0.8,5,0,0.00087355,0,-4.8929e-11
1.4,79,2688,0,1,2050,0.6,5,4.44232e-17,40.4603,0,-2.98872e-10
1.4,57,1216,1,0,1200,0,6,0,0.0038078,0,-2.765e-10
1.4,15,7360,0,1,2800,0.8,9,0,110.8313,0,-6.874865e-10
1.4,32,5376,1,1,2000,1,4,4.4486e-17,0.024045,0,-2.8508e-10
1.4,100,1088,1,0,1050,0.1,3,0,0.00585,0,-1.3054e-10
1.4,37,1472,1,0,1550,0.8,9,4.4503e-17,0.0031345,0,-4.5406e-10
1.4,12,192,0,0,3450,0.4,5,0,58.5322,0,-4.89287e-11
1.4,3,448,1,1,1700,0,4,4.4453e-17,0.0094688,0,-1.0995e-10
1.4,26,704,0,0,700,1,7,9.3697e-17,24.1372,0,-1.96618e-09
1.4,24,7680,1,0,850,0.6,1,0,0.012205,0,-7.397e-11
1.4,100,832,0,0,1050,0.3,1,4.4416e-17,3.3944,0,-2.9158e-11
1.4,12,832,0,0,4550,0.6,5,0,90.3049,0,-2.10597e-10
1.4,88,1024,0,0,500,0.7,5,0,10.5086,0,-2.32633e-10
1.4,66,320,1,0,800,0.4,1,4.4418e-17,0.0011469,0,9.9414e-12
1.4,73,384,1,1,1250,0.6,1,0,0.010279,0,7.8569e-12
1.4,48,8000,0,0,1300,0.1,7,2.90252e-17,24.0374,0,-5.55471e-10
1.4,65,8000,0,0,9700,0.7,2,0,79.8737,0,-1.56552e-10
1.4,66,192,1,0,500,0.1,1,0,0.00071046,0,5.6873e-11
1.4,54,704,1,0,1500,0.9,10,0,0.0020687,0,-3.9914e-10
1.4,18,192,1,1,1750,0.1,7,0,0.0081789,0,-1.0181e-10
1.4,67,2048,0,1,700,0.4,3,0,7.4071,0,-1.6986e-10
1.4,34,1216,0,0,500,0.4,9,1.08537e-16,15.0754,0,3.40414e-09
1.4,21,3968,1,1,6150,0.2,1,0,0.017463,0,-6.0853e-11
1.4,81,2432,0,0,9150,0.7,1,0,37.6666,0,-5.12181e-11
1.4,31,5632,0,1,8350,0.1,9,0,201.4378,0,-6.480359e-10
1.4,12,8768,0,1,1300,0.3,4,0,16.4572,0,-3.19007e-10
1.4,56,128,1,0,1350,0.9,9,0,0.00049754,0,-8.6841e-11
1.4,99,2432,1,1,1450,0.8,4,0,0.025429,0,-2.2497e-10
1.4,37,8000,0,1,1700,0.8,3,0,22.2474,0,-2.49429e-10
1.4,28,3456,0,0,6550,0.4,4,0,89.7369,0,-2.54802e-10
1.4,63,1536,1,1,2200,0.3,8,0,0.016269,0,-4.05e-10
1.4,67,768,1,1,1300,0.8,10,0,0.012575,0,-4.1112e-10
1.4,52,3648,0,0,8100,0.9,1,0,37.6077,0,-6.05963e-11
1.4,40,4352,1,0,6950,0.2,4,0,0.010964,0,-2.7014e-10
1.4,66,8384,1,0,3050,0.1,1,0,0.037117,0,-7.9916e-11
